day,min,max
Tonight,--,44°
Tue 27,73°,42°
Wed 28,72°,42°
Thu 29,73°,43°
Fri 30,74°,47°
Sat 31,76°,47°
Sun 01,75°,48°
Mon 02,71°,47°
Tue 03,70°,46°
Wed 04,68°,44°
Thu 05,70°,44°
Fri 06,70°,44°
Sat 07,70°,44°
Sun 08,71°,44°
Mon 09,69°,44°
