,date,closing,adjusted,evolution,quantity,volume
83,2020-04-27,3350.0,3350.0,0.0,1178.0,3945010.0
84,2020-04-28,3350.0,3350.0,0.0,500.0,1675000.0
85,2020-04-29,3350.0,3350.0,0.0,433.0,1449800.0
86,2020-04-30,3349.0,3349.0,-0.03,93.0,312797.0
87,2020-05-02,4200.0,4200.0,-6.15,7.0,29400.0
88,2020-05-03,4300.0,4300.0,-0.05,860.0,3691779.0
89,2020-05-05,3350.0,3350.0,0.03,50.0,167500.0
90,2020-05-06,3489.0,3489.0,3.99,601.0,2096889.0
91,2020-05-08,3580.0,3580.0,0.0,0.0,0.0
92,2020-05-10,3400.0,3400.0,0.98,1298.0,4413167.0
93,2020-05-11,3360.0,3360.0,0.0,0.0,0.0
94,2020-05-13,3351.0,3351.0,0.03,2662.0,8919700.0
95,2020-05-14,3351.0,3351.0,0.0,0.0,0.0
96,2020-05-15,3351.0,3351.0,0.0,0.0,0.0
97,2020-05-18,3350.0,3350.0,-0.03,1767.0,5919450.0
98,2020-05-19,3350.0,3350.0,0.0,0.0,0.0
99,2020-05-20,3350.0,3350.0,0.0,0.0,0.0
100,2020-05-21,3350.0,3350.0,0.0,230.0,770500.0
101,2020-05-22,3350.0,3350.0,0.0,0.0,0.0
102,2020-05-26,3351.0,3351.0,0.03,33.0,110583.0
103,2020-05-27,3350.0,3350.0,-0.03,200.0,670035.0
104,2020-05-28,3350.0,3350.0,0.0,0.0,0.0
105,2020-05-29,3350.0,3350.0,0.0,0.0,0.0
106,2020-06-01,3900.0,3900.0,0.0,0.0,0.0
107,2020-06-02,4201.0,4201.0,0.02,61.0,256219.0
108,2020-06-03,4120.0,4120.0,-4.19,2220.0,9146400.0
109,2020-06-04,3350.0,3350.0,0.0,703.0,2355050.0
110,2020-06-05,3350.0,3350.0,0.0,0.0,0.0
111,2020-06-07,3670.0,3670.0,0.0,0.0,0.0
112,2020-06-08,3525.0,3525.0,-1.54,826.0,2911650.0
113,2020-06-10,3400.0,3400.0,0.0,0.0,0.0
114,2020-06-15,3540.0,3540.0,0.0,0.0,0.0
115,2020-06-16,3540.0,3540.0,0.0,0.0,0.0
116,2020-06-17,3681.0,3681.0,3.98,10.0,36810.0
117,2020-06-18,3700.0,3700.0,0.52,1962.0,7259498.0
118,2020-06-19,3700.0,3700.0,0.0,1030.0,3833500.0
119,2020-06-22,3847.0,3847.0,3.97,2.0,7694.0
120,2020-06-23,3847.0,3847.0,0.0,0.0,0.0
121,2020-06-24,3740.0,3740.0,-2.78,1200.0,4488310.0
122,2020-06-25,3740.0,3740.0,0.0,0.0,0.0
123,2020-06-26,3680.0,3680.0,-1.6,75.0,276000.0
124,2020-06-29,3680.0,3680.0,0.0,0.0,0.0
125,2020-06-30,3670.0,3670.0,-0.27,750.0,2752500.0
126,2020-07-01,3950.0,3950.0,1.28,216.0,853200.0
127,2020-07-02,4201.0,4201.0,0.0,0.0,0.0
128,2020-07-04,3300.0,3300.0,-1.49,295.0,973500.0
129,2020-07-05,3350.0,3350.0,0.0,0.0,0.0
130,2020-07-07,3670.0,3670.0,0.0,0.0,0.0
131,2020-07-08,3525.0,3525.0,0.0,0.0,0.0
132,2020-07-09,3580.0,3580.0,0.0,0.0,0.0
133,2020-07-10,3400.0,3400.0,0.0,0.0,0.0
134,2020-07-12,3690.0,3690.0,3.91,2017.0,7441710.0
135,2020-07-13,3640.0,3640.0,0.0,0.0,0.0
136,2020-07-14,3640.0,3640.0,0.0,0.0,0.0
137,2020-07-15,3640.0,3640.0,0.0,0.0,0.0
138,2020-07-16,3640.0,3640.0,0.0,0.0,0.0
139,2020-07-17,3700.0,3700.0,1.65,61.0,225700.0
140,2020-07-20,3700.0,3700.0,0.0,0.0,0.0
141,2020-07-21,3700.0,3700.0,0.0,0.0,0.0
142,2020-07-22,3580.0,3580.0,0.0,0.0,0.0
143,2020-07-23,3580.0,3580.0,0.0,0.0,0.0
144,2020-07-24,3580.0,3580.0,0.0,0.0,0.0
145,2020-07-27,3580.0,3580.0,0.0,0.0,0.0
146,2020-07-28,3580.0,3580.0,0.0,0.0,0.0
147,2020-07-29,3580.0,3580.0,0.0,0.0,0.0
148,2020-08-01,3950.0,3950.0,0.0,0.0,0.0
149,2020-08-04,3350.0,3350.0,1.52,18.0,60300.0
150,2020-08-05,3350.0,3350.0,0.0,0.0,0.0
151,2020-08-06,3489.0,3489.0,0.0,0.0,0.0
152,2020-08-07,3670.0,3670.0,0.0,0.0,0.0
153,2020-08-09,3580.0,3580.0,0.0,0.0,0.0
154,2020-08-10,3400.0,3400.0,0.0,0.0,0.0
155,2020-08-12,3690.0,3690.0,0.0,0.0,0.0
156,2020-08-13,3525.0,3525.0,0.0,0.0,0.0
157,2020-08-17,3401.0,3401.0,-3.52,3.0,10203.0
158,2020-08-18,3401.0,3401.0,0.0,0.0,0.0
159,2020-08-19,3401.0,3401.0,0.0,0.0,0.0
160,2020-08-24,3401.0,3401.0,0.0,0.0,0.0
161,2020-08-25,3450.0,3450.0,1.44,263.0,907350.0
162,2020-08-26,3450.0,3450.0,0.0,254.0,876362.0
163,2020-08-27,3452.0,3452.0,0.06,47.0,160854.0
164,2020-08-28,3452.0,3452.0,0.0,0.0,0.0
165,2020-08-31,3452.0,3452.0,0.0,0.0,0.0
166,2020-09-01,4088.0,4088.0,3.49,97.0,386351.0
167,2020-09-03,3800.0,3800.0,-7.77,3707.0,14109112.0
168,2020-09-04,3350.0,3350.0,0.0,2069.0,6931150.0
169,2020-09-06,3489.0,3489.0,0.0,0.0,0.0
170,2020-09-07,3670.0,3670.0,0.0,0.0,0.0
171,2020-09-09,3580.0,3580.0,0.0,0.0,0.0
172,2020-09-10,3360.0,3360.0,-1.18,15.0,50400.0
173,2020-09-11,3427.0,3427.0,1.99,1.0,3427.0
174,2020-09-12,3760.0,3760.0,1.9,1000.0,3760000.0
175,2020-09-14,3650.0,3650.0,0.0,0.0,0.0
176,2020-09-15,3650.0,3650.0,0.0,650.0,2372500.0
177,2020-09-16,3650.0,3650.0,0.0,0.0,0.0
178,2020-09-17,3509.0,3509.0,-3.86,3.0,10527.0
179,2020-09-18,3600.0,3600.0,2.59,1000.0,3599998.0
180,2020-09-21,3600.0,3600.0,0.0,0.0,0.0
181,2020-09-22,3600.0,3600.0,0.0,0.0,0.0
182,2020-09-23,3600.0,3600.0,0.0,0.0,0.0
183,2020-09-24,3507.0,3507.0,-2.58,2.0,7014.0
184,2020-09-25,3367.0,3367.0,-3.99,70.0,235690.0
185,2020-09-28,3367.0,3367.0,0.0,0.0,0.0
186,2020-09-29,3367.0,3367.0,0.0,0.0,0.0
187,2020-09-30,3367.0,3367.0,0.0,0.0,0.0
188,2020-10-01,3970.0,3970.0,-2.89,324.0,1286280.0
189,2020-10-02,4201.0,4201.0,0.0,0.0,0.0
190,2020-10-03,3800.0,3800.0,0.0,0.0,0.0
191,2020-10-04,3350.0,3350.0,0.0,0.0,0.0
192,2020-10-06,3500.0,3500.0,0.32,2.0,7000.0
193,2020-10-07,3640.0,3640.0,-0.82,150.0,546000.0
194,2020-10-08,3525.0,3525.0,0.0,0.0,0.0
195,2020-10-09,3650.0,3650.0,1.96,594.0,2165730.0
196,2020-10-11,3450.0,3450.0,0.67,9.0,30918.0
197,2020-10-12,3760.0,3760.0,0.0,28.0,105280.0
198,2020-10-13,3355.0,3355.0,0.15,24.0,80520.0
199,2020-10-14,3350.0,3350.0,-0.15,1.0,3350.0
200,2020-10-15,3350.0,3350.0,0.0,0.0,0.0
201,2020-10-16,3375.0,3375.0,0.75,101.0,340875.0
202,2020-10-19,3359.0,3359.0,-0.47,20.0,67180.0
203,2020-10-20,3359.0,3359.0,0.0,0.0,0.0
204,2020-10-21,3359.0,3359.0,0.0,0.0,0.0
205,2020-10-22,3359.0,3359.0,0.0,0.0,0.0
206,2020-10-23,3355.0,3355.0,-0.12,498.0,1670790.0
207,2020-10-26,3355.0,3355.0,0.0,0.0,0.0
208,2020-10-27,3355.0,3355.0,0.0,10.0,33550.0
209,2020-10-28,3355.0,3355.0,0.0,0.0,0.0
210,2020-11-02,4201.0,4201.0,0.0,0.0,0.0
211,2020-11-03,3810.0,3810.0,0.26,191.0,727180.0
212,2020-11-05,3350.0,3350.0,0.0,0.0,0.0
213,2020-11-06,3600.0,3600.0,2.86,4.0,14350.0
214,2020-11-08,3525.0,3525.0,0.0,0.0,0.0
215,2020-11-09,3650.0,3650.0,0.0,195.0,711750.0
216,2020-11-11,3450.0,3450.0,0.0,0.0,0.0
217,2020-11-12,3910.0,3910.0,3.99,4087.0,15979202.0
218,2020-11-13,3450.0,3450.0,0.0,0.0,0.0
219,2020-11-16,3450.0,3450.0,0.0,0.0,0.0
220,2020-11-17,3450.0,3450.0,0.0,0.0,0.0
221,2020-11-19,3450.0,3450.0,0.0,0.0,0.0
222,2020-11-20,3450.0,3450.0,0.0,0.0,0.0
223,2020-11-23,3587.0,3587.0,3.97,18.0,62577.0
224,2020-11-24,3730.0,3730.0,3.99,31.0,115630.0
225,2020-11-25,3730.0,3730.0,0.0,0.0,0.0
226,2020-11-26,3610.0,3610.0,-3.22,40.0,144425.0
227,2020-11-27,3475.0,3475.0,-3.74,400.0,1401853.0
228,2020-11-30,3475.0,3475.0,0.0,0.0,0.0
229,2020-12-02,4201.0,4201.0,0.0,0.0,0.0
230,2020-12-03,3730.0,3730.0,-2.1,324.0,1229661.0
231,2020-12-05,3350.0,3350.0,0.0,0.0,0.0
232,2020-12-06,3540.0,3540.0,-1.67,550.0,1946392.0
233,2020-12-08,3525.0,3525.0,0.0,0.0,0.0
234,2020-12-10,3350.0,3350.0,-0.3,19.0,63680.0
235,2020-12-11,3450.0,3450.0,0.0,0.0,0.0
236,2020-12-14,3977.0,3977.0,1.71,482.0,1909214.0
237,2020-12-15,3900.0,3900.0,-1.94,320.0,1248000.0
238,2020-12-16,3900.0,3900.0,0.0,0.0,0.0
239,2020-12-17,4000.0,4000.0,2.56,1000.0,3999239.0
240,2020-12-18,3910.0,3910.0,-2.25,1071.0,4332195.0
241,2020-12-21,3900.0,3900.0,-0.26,9.0,35100.0
242,2020-12-22,3901.0,3901.0,0.03,506.0,1973860.0
243,2020-12-23,3901.0,3901.0,0.0,0.0,0.0
244,2020-12-24,4000.0,4000.0,2.54,56.0,223125.0
245,2020-12-25,3851.0,3851.0,-3.73,280.0,1078280.0
246,2020-12-28,3851.0,3851.0,0.0,29.0,111683.0
247,2020-12-29,3851.0,3851.0,0.0,177.0,681627.0
248,2020-12-30,3900.0,3900.0,1.27,10.0,39000.0
249,2020-12-31,3870.0,3870.0,-0.77,1096.0,4241520.0
250,2021-01-02,3832.0,3832.0,0.0,0.0,0.0
251,2021-01-03,3990.0,3990.0,0.0,534.0,2130660.0
252,2021-01-04,3805.0,3805.0,-2.19,72.0,278785.0
253,2021-01-06,3980.0,3980.0,0.03,1000.0,3980000.0
254,2021-01-07,4279.0,4279.0,0.35,520.0,2224999.0
255,2021-01-09,4200.0,4200.0,0.0,0.0,0.0
256,2021-01-10,4400.0,4400.0,0.02,265.0,1166000.0
257,2021-01-11,4900.0,4900.0,0.0,0.0,0.0
258,2021-01-12,4600.0,4600.0,0.0,0.0,0.0
259,2021-01-13,3870.0,3870.0,0.0,100.0,387000.0
260,2021-01-14,3870.0,3870.0,0.0,0.0,0.0
261,2021-01-15,3870.0,3870.0,0.0,210.0,812700.0
262,2021-01-18,3870.0,3870.0,0.0,0.0,0.0
263,2021-01-19,3870.0,3870.0,0.0,0.0,0.0
264,2021-01-20,3870.0,3870.0,0.0,0.0,0.0
265,2021-01-21,3870.0,3870.0,0.0,820.0,3173400.0
266,2021-01-22,3880.0,3880.0,0.26,1589.0,6165434.0
267,2021-01-25,3880.0,3880.0,0.0,0.0,0.0
268,2021-01-26,3880.0,3880.0,0.0,0.0,0.0
269,2021-01-27,3880.0,3880.0,0.0,0.0,0.0
270,2021-01-28,3880.0,3880.0,0.0,0.0,0.0
271,2021-01-29,3832.0,3832.0,-1.24,651.0,2494816.0
272,2021-02-02,3832.0,3832.0,0.0,0.0,0.0
273,2021-02-03,3990.0,3990.0,0.0,0.0,0.0
274,2021-02-04,3805.0,3805.0,0.0,0.0,0.0
275,2021-02-06,4000.0,4000.0,0.5,1267.0,5067310.0
276,2021-02-07,4278.0,4278.0,-0.02,200.0,855600.0
277,2021-02-08,4200.0,4200.0,-1.18,2000.0,8400000.0
278,2021-02-09,4240.0,4240.0,0.95,3000.0,12720000.0
279,2021-02-11,4899.0,4899.0,-0.02,1005.0,4886370.0
280,2021-02-12,4621.0,4621.0,0.46,150.0,693150.0
281,2021-02-15,4119.0,4119.0,0.0,0.0,0.0
282,2021-02-16,4119.0,4119.0,0.0,0.0,0.0
283,2021-02-17,4119.0,4119.0,0.0,0.0,0.0
284,2021-02-18,4119.0,4119.0,0.0,0.0,0.0
285,2021-02-19,4119.0,4119.0,0.0,0.0,0.0
286,2021-02-22,3955.0,3955.0,-3.98,3.0,11865.0
287,2021-02-23,3955.0,3955.0,0.0,0.0,0.0
288,2021-02-24,3955.0,3955.0,0.0,0.0,0.0
289,2021-02-25,3955.0,3955.0,0.0,0.0,0.0
290,2021-02-26,3990.0,3990.0,0.88,541.0,2159340.0
291,2021-03-02,3980.0,3980.0,3.86,1.0,3980.0
292,2021-03-03,3990.0,3990.0,0.0,0.0,0.0
293,2021-03-05,3955.0,3955.0,0.13,766.0,3029450.0
294,2021-03-06,4075.0,4075.0,1.88,301.0,1226550.0
295,2021-03-08,4200.0,4200.0,0.0,0.0,0.0
296,2021-03-09,4270.0,4270.0,0.71,1074.0,4555980.0
297,2021-03-11,4899.0,4899.0,0.0,0.0,0.0
298,2021-03-12,4630.0,4630.0,0.19,944.0,4370720.0
299,2021-03-15,3988.0,3988.0,0.0,0.0,0.0
300,2021-03-16,3988.0,3988.0,0.0,0.0,0.0
301,2021-03-17,3988.0,3988.0,0.0,0.0,0.0
302,2021-03-18,3890.0,3890.0,-2.46,270.0,1050300.0
303,2021-03-19,3890.0,3890.0,0.0,0.0,0.0
304,2021-03-22,3890.0,3890.0,0.0,780.0,3034200.0
305,2021-03-23,3851.0,3851.0,-1.0,1063.0,4134396.0
306,2021-03-24,3851.0,3851.0,0.0,0.0,0.0
307,2021-03-25,3851.0,3851.0,0.0,0.0,0.0
308,2021-03-26,3800.0,3800.0,-1.32,503.0,1956400.0
