,date,closing,adjusted,evolution,quantity,volume
35,2020-02-20,82.0,82.0,3.08,2593.0,209590.0
36,2020-02-21,82.5,82.5,0.61,843.0,69109.1
37,2020-02-24,82.5,82.5,0.0,0.0,0.0
38,2020-02-25,79.4,79.4,-3.76,1480.0,119366.15
39,2020-02-26,79.0,79.0,-0.5,285.0,22485.41
40,2020-02-27,82.4,82.4,4.3,546.0,44761.97
41,2020-02-28,82.5,82.5,0.12,2123.0,175955.3
42,2020-03-01,72.0,72.0,-3.23,545.0,38895.0
43,2020-03-02,78.0,78.0,-1.27,2350.0,183300.0
44,2020-03-03,77.0,77.0,-3.75,462.0,36630.42
45,2020-03-04,58.6,58.6,-3.93,4680.0,274653.0
46,2020-03-06,70.71,70.71,3.99,20.0,1414.2
47,2020-03-07,69.99,69.99,1.43,1561.0,109038.0
48,2020-03-08,69.75,69.75,-0.04,17.0,1185.75
49,2020-03-09,72.0,72.0,-1.37,127.0,9080.0
50,2020-03-11,80.8,80.8,-0.23,150.0,12120.0
51,2020-03-12,81.0,81.0,-0.61,298.0,24138.3
52,2020-03-13,69.0,69.0,4.55,47414.0,3270272.65
53,2020-03-16,62.11,62.11,-9.99,3595.0,238328.74
54,2020-03-17,59.7,59.7,-3.88,1515.0,90788.25
55,2020-03-18,57.32,57.32,-3.99,7803.0,452547.76
56,2020-03-19,58.0,58.0,1.19,11905.0,694403.5
57,2020-03-20,60.3,60.3,3.97,400.0,24120.0
58,2020-03-23,62.71,62.71,4.0,8019.0,502861.29
59,2020-03-24,63.5,63.5,1.26,1635.0,103822.5
60,2020-03-25,62.71,62.71,-1.24,1262.0,79438.6
61,2020-03-26,60.22,60.22,-3.97,2230.0,135105.1
62,2020-03-27,62.5,62.5,3.79,5601.0,350051.08
63,2020-03-30,60.01,60.01,-3.98,1600.0,96016.0
64,2020-03-31,62.4,62.4,3.98,2830.0,176017.6
65,2020-04-02,79.5,79.5,1.92,13643.0,1065748.6
66,2020-04-03,73.51,73.51,-4.53,30791.0,2310667.4
67,2020-04-05,61.0,61.0,-1.61,1739.0,106082.78
68,2020-04-06,72.99,72.99,3.22,17354.0,1259944.14
69,2020-04-08,71.36,71.36,2.31,1282.0,90012.28
70,2020-04-09,70.0,70.0,-2.78,5221.0,366443.45
71,2020-04-11,80.0,80.0,-0.99,592.0,47360.0
72,2020-04-12,81.95,81.95,1.17,870.0,71277.5
73,2020-04-13,59.0,59.0,-0.02,784.0,46261.0
74,2020-04-14,57.5,57.5,-2.54,4200.0,241500.0
75,2020-04-15,57.5,57.5,0.0,47.0,2702.5
76,2020-04-16,58.67,58.67,2.03,19.0,1103.33
77,2020-04-17,56.33,56.33,-3.99,6877.0,387656.42
78,2020-04-20,56.0,56.0,-0.59,2043.0,115311.21
79,2020-04-21,56.0,56.0,0.0,0.0,0.0
80,2020-04-22,56.0,56.0,0.0,0.0,0.0
81,2020-04-23,57.92,57.92,3.43,3050.0,176610.0
82,2020-04-24,58.99,58.99,1.85,111544.0,6680779.52
83,2020-04-27,60.16,60.16,1.98,1700.0,102032.0
84,2020-04-28,60.16,60.16,0.0,0.0,0.0
85,2020-04-29,60.0,60.0,-0.27,200001.0,12000132.2
86,2020-04-30,62.0,62.0,3.33,80749.0,4845249.5
87,2020-05-02,80.0,80.0,0.63,19761.0,1579602.79
88,2020-05-03,77.0,77.0,4.75,450.0,34350.0
89,2020-05-05,62.5,62.5,2.46,7160.0,431183.97
90,2020-05-06,71.0,71.0,-2.73,5537.0,391930.66
91,2020-05-08,71.1,71.1,-0.36,393.0,28054.45
92,2020-05-10,77.5,77.5,-1.27,159.0,12361.5
93,2020-05-11,81.0,81.0,1.25,2394.0,194376.9
94,2020-05-13,63.49,63.49,-0.75,6.0,380.98
95,2020-05-14,63.5,63.5,0.02,47.0,2984.15
96,2020-05-15,63.0,63.0,-0.79,2688.0,170085.5
97,2020-05-18,63.9,63.9,1.43,30.0,1917.0
98,2020-05-19,63.0,63.0,-1.41,5134.0,327997.16
99,2020-05-20,64.2,64.2,1.9,3527.0,226402.4
100,2020-05-21,63.2,63.2,-1.56,620.0,39184.0
101,2020-05-22,65.0,65.0,2.85,7443.0,483929.71
102,2020-05-26,66.3,66.3,2.0,6809.0,451962.6
103,2020-05-27,64.0,64.0,1.59,1147.0,73421.1
104,2020-05-28,65.5,65.5,2.34,4358.0,279788.0
105,2020-05-29,65.39,65.39,-0.17,406.0,26059.94
106,2020-06-01,70.1,70.1,-2.64,120.0,8524.65
107,2020-06-02,79.0,79.0,-1.25,1680.0,132119.8
108,2020-06-03,69.5,69.5,-9.74,157620.0,10955450.0
109,2020-06-04,58.5,58.5,-0.17,1650.0,96708.9
110,2020-06-05,62.9,62.9,0.64,561.0,35283.85
111,2020-06-07,69.99,69.99,0.0,0.0,0.0
112,2020-06-08,70.0,70.0,-1.55,1060.0,74161.0
113,2020-06-10,78.5,78.5,1.29,622.0,48802.23
114,2020-06-15,68.0,68.0,0.0,70.0,4760.0
115,2020-06-16,68.5,68.5,0.74,4429.0,297759.89
116,2020-06-17,71.23,71.23,3.99,9855.0,692481.03
117,2020-06-18,70.99,70.99,-0.34,4910.0,355171.28
118,2020-06-19,71.9,71.9,1.28,3010.0,216481.62
119,2020-06-22,71.9,71.9,0.0,200.0,14380.0
120,2020-06-23,70.7,70.7,-1.67,4151.0,289751.2
