,date,closing,adjusted,evolution,quantity,volume
39,2020-02-26,1400.0,1400.0,-3.45,20.0,28000.0
40,2020-02-27,1450.0,1450.0,3.57,300.0,435000.0
41,2020-02-28,1450.0,1450.0,0.0,0.0,0.0
42,2020-03-01,1362.0,1362.0,0.0,24.0,32688.0
43,2020-03-02,1440.0,1440.0,0.0,15.0,21600.0
44,2020-03-03,1400.0,1400.0,-3.45,32.0,44800.0
45,2020-03-04,1105.0,1105.0,-3.91,93.0,102900.0
46,2020-03-06,1060.0,1060.0,3.92,189.0,197651.0
47,2020-03-07,1090.0,1090.0,0.0,0.0,0.0
48,2020-03-08,1099.0,1099.0,0.0,0.0,0.0
49,2020-03-09,1095.0,1095.0,0.0,6.0,6570.0
50,2020-03-11,1160.0,1160.0,0.0,0.0,0.0
51,2020-03-12,1160.0,1160.0,0.0,0.0,0.0
52,2020-03-13,1164.0,1164.0,-3.0,457.0,531948.0
53,2020-03-16,1100.0,1100.0,-5.5,240.0,264000.0
54,2020-03-17,1070.0,1070.0,-2.73,20.0,21705.0
55,2020-03-18,1070.0,1070.0,0.0,0.0,0.0
56,2020-03-19,1069.0,1069.0,-0.09,25.0,26345.0
57,2020-03-20,1069.0,1069.0,0.0,0.0,0.0
58,2020-03-23,1110.0,1110.0,3.84,22.0,23680.0
59,2020-03-24,1154.0,1154.0,3.96,2.0,2308.0
60,2020-03-25,1110.0,1110.0,-3.81,3.0,3330.0
61,2020-03-26,1110.0,1110.0,0.0,0.0,0.0
62,2020-03-27,1110.0,1110.0,0.0,0.0,0.0
63,2020-03-30,1110.0,1110.0,0.0,0.0,0.0
64,2020-03-31,1150.0,1150.0,3.6,10.0,11500.0
65,2020-04-02,1440.0,1440.0,0.0,0.0,0.0
66,2020-04-03,1400.0,1400.0,0.0,0.0,0.0
67,2020-04-05,960.1,960.1,-3.99,2431.0,2341681.1
68,2020-04-06,1070.0,1070.0,0.94,51.0,54570.0
69,2020-04-08,1078.0,1078.0,-1.91,10.0,10780.0
70,2020-04-09,1120.0,1120.0,2.28,119.0,133280.0
71,2020-04-11,1160.0,1160.0,0.0,0.0,0.0
72,2020-04-12,1180.0,1180.0,1.72,30.0,35200.0
73,2020-04-13,1056.0,1056.0,-3.91,3.0,3168.0
74,2020-04-14,1025.0,1025.0,-2.94,701.0,718525.0
75,2020-04-15,1025.0,1025.0,0.0,0.0,0.0
76,2020-04-16,989.0,989.0,-3.51,7.0,6923.0
77,2020-04-17,989.0,989.0,0.0,0.0,0.0
78,2020-04-20,989.0,989.0,0.0,0.0,0.0
79,2020-04-21,989.0,989.0,0.0,10364.0,10249996.0
80,2020-04-22,989.0,989.0,0.0,0.0,0.0
81,2020-04-23,1023.0,1023.0,3.44,40.0,40920.0
82,2020-04-24,1023.0,1023.0,0.0,0.0,0.0
83,2020-04-27,1023.0,1023.0,0.0,0.0,0.0
84,2020-04-28,990.0,990.0,-3.23,6.0,5940.0
85,2020-04-29,1026.0,1026.0,3.64,3.0,3078.0
86,2020-04-30,1000.0,1000.0,-2.53,107.0,108282.0
87,2020-05-02,1400.0,1400.0,-2.78,702.0,982800.0
88,2020-05-03,1400.0,1400.0,0.0,0.0,0.0
89,2020-05-05,960.1,960.1,0.0,0.0,0.0
90,2020-05-06,1100.0,1100.0,2.8,5.0,5500.0
91,2020-05-08,1078.0,1078.0,0.0,0.0,0.0
92,2020-05-10,1165.0,1165.0,0.0,0.0,0.0
93,2020-05-11,1160.0,1160.0,0.0,0.0,0.0
94,2020-05-13,970.0,970.0,0.0,0.0,0.0
95,2020-05-14,970.0,970.0,0.0,0.0,0.0
96,2020-05-15,950.0,950.0,-2.06,1900.0,1805888.0
97,2020-05-18,986.9,986.9,3.88,305.0,289786.9
98,2020-05-19,986.9,986.9,0.0,0.0,0.0
99,2020-05-20,986.9,986.9,0.0,0.0,0.0
100,2020-05-21,986.9,986.9,0.0,0.0,0.0
101,2020-05-22,980.0,980.0,-0.7,35.0,34299.7
102,2020-05-26,980.0,980.0,0.0,0.0,0.0
103,2020-05-27,1000.0,1000.0,2.04,174.0,173996.0
104,2020-05-28,1029.0,1029.0,2.9,19.0,19551.0
105,2020-05-29,1038.0,1038.0,0.87,160.0,166080.0
106,2020-06-01,1362.0,1362.0,0.0,0.0,0.0
107,2020-06-02,1400.0,1400.0,0.0,0.0,0.0
108,2020-06-03,1310.0,1310.0,-6.43,700.0,917000.0
109,2020-06-04,1105.0,1105.0,0.0,0.0,0.0
110,2020-06-05,997.9,997.9,3.94,3.0,2993.7
